nu_cm1,S_cm_per_molec,gamma_air,gamma_self,elower,iso,band_upper,band_lower,branch_J
1260.7611,2.108e-28,0.082,0.105,2935.258,4,2330,0530,P 11f
1260.7613,2.108e-28,0.082,0.105,2935.258,4,2330,0530,P 11e
1260.7652,2.113e-28,0.0704,0.086,3342.6165,2,2310,0510,P 34e
1260.7656,5.057e-28,0.0777,0.1,1837.0427,4,1310,0310,Q 16e
1260.7711,3.038e-27,0.0906,0.112,1737.2926,4,1310,0310,Q 4f
1260.7722,2.078e-28,0.0704,0.086,3345.3127,2,2310,0510,P 34f
1260.7731,5.725e-28,0.0783,0.101,1824.374,4,1310,0310,Q 15e
1260.7755,2.471e-26,0.0962,0.119,1264.7042,5,2000,1000,R 0e
1260.7758,1.048e-27,0.0692,0.083,1787.135,4,1220,0220,Q 39e
1260.7802,6.483e-28,0.0791,0.102,1812.4968,4,1310,0310,Q 14e
1260.7806,2.746e-27,0.0719,0.089,4128.7889,1,3220,2220,P 29e
1260.7866,7.348e-28,0.0799,0.103,1801.4112,4,1310,0310,Q 13e
1260.7910,5.120e-24,0.0689,0.082,2436.6204,1,1310,0310,P 40e
1260.7928,8.343e-28,0.0809,0.104,1791.1171,4,1310,0310,Q 12e
1260.7946,4.001e-27,0.0922,0.114,1734.1144,4,1310,0310,Q 3f
1260.7975,2.749e-27,0.0719,0.089,4128.7584,1,3220,2220,P 29f
1260.7983,9.499e-28,0.082,0.105,1781.6146,4,1310,0310,Q 11e
1260.8026,8.787e-28,0.0689,0.082,1818.7529,4,1220,0220,Q 40f
1260.8034,1.086e-27,0.0833,0.106,1772.9039,4,1310,0310,Q 10e
1260.8070,5.895e-27,0.0745,0.094,2659.2661,3,2220,1220,P 22e
1260.8071,3.115e-27,0.0704,0.086,2785.1393,2,1420,0420,P 34e
1260.8080,1.247e-27,0.0846,0.107,1764.9848,4,1310,0310,Q 9e
1260.8106,4.765e-22,0.082,0.105,53.4384,3,1000,0000,P 11e
1260.8113,5.896e-27,0.0745,0.094,2659.2562,3,2220,1220,P 22f
1260.8121,5.783e-27,0.0941,0.116,1731.7308,4,1310,0310,Q 2f
1260.8123,1.444e-27,0.0857,0.108,1757.8575,4,1310,0310,Q 8e
1260.8126,1.034e-26,0.0846,0.107,1895.3179,5,2110,1110,P 9f
1260.8144,1.035e-26,0.0846,0.107,1895.238,5,2110,1110,P 9e
1260.8146,2.369e-28,0.0722,0.09,3374.5572,3,2330,1330,P 28f
1260.8148,2.369e-28,0.0722,0.09,3374.5568,3,2330,1330,P 28e
