molecule,nu_cm1,S_cm_per_molec,iso,elower
N2O,1297.0222,1.015e-22,1,1186.1
N2O,1297.0222,1.015e-22,1,1186.1
N2O,1297.0247,4.952e-28,1,4287.1
N2O,1297.0248,4.952e-28,1,4287.1
N2O,1297.0304,1.224e-24,1,2492.4
N2O,1297.0304,1.224e-24,1,2492.4
N2O,1297.0318,1.028e-25,1,1980.6
N2O,1297.0349,1.338e-22,1,1182.8
N2O,1297.0350,1.338e-22,1,1182.8
N2O,1297.0375,2.713e-28,1,4455.4
N2O,1297.0415,1.178e-25,1,1961.3
N2O,1297.0445,1.935e-22,1,1180.3
N2O,1297.0445,1.935e-22,1,1180.3
N2O,1297.0481,1.270e-24,1,1761.7
N2O,1297.0501,1.715e-19,1,88.0
N2O,1297.0509,1.347e-25,1,1942.9
N2O,1297.0597,1.538e-25,1,1925.3
N2O,1297.0608,1.801e-28,1,4715.7
N2O,1297.0640,2.138e-28,1,3216.7
N2O,1297.0682,1.754e-25,1,1908.5
N2O,1297.0705,3.343e-28,1,4478.0
N2O,1297.0762,1.996e-25,1,1892.5
N2O,1297.0807,6.373e-25,1,2339.5
N2O,1297.0808,6.373e-25,1,2339.5
N2O,1297.0813,1.591e-24,1,1757.5
N2O,1297.0824,1.963e-27,1,3061.0
N2O,1297.0832,2.597e-28,1,4049.8
N2O,1297.0837,2.270e-25,1,1877.4
N2O,1297.0885,1.191e-28,1,4278.7
N2O,1297.0885,1.191e-28,1,4278.7
N2O,1297.0909,2.579e-25,1,1863.2
N2O,1297.0937,1.045e-28,1,2863.9
N2O,1297.0976,2.929e-25,1,1849.8
N2O,1297.1039,3.328e-25,1,1837.2
N2O,1297.1079,2.097e-24,1,1754.1
N2O,1297.1085,2.600e-28,1,4049.8
N2O,1297.1097,3.783e-25,1,1825.4
N2O,1297.1152,4.308e-25,1,1814.5
N2O,1297.1171,2.220e-28,1,3360.7
N2O,1297.1202,4.917e-25,1,1804.4
N2O,1297.1205,2.255e-26,1,3585.8
N2O,1297.1248,5.633e-25,1,1795.2
N2O,1297.1278,3.034e-24,1,1751.6
N2O,1297.1289,6.486e-25,1,1786.8
N2O,1297.1327,7.523e-25,1,1779.3
H2O,1297.1347,1.328e-24,1,3109.9
N2O,1297.1360,8.816e-25,1,1772.6
N2O,1297.1377,3.102e-27,1,3640.0
N2O,1297.1378,3.102e-27,1,3640.0
N2O,1297.1390,1.048e-24,1,1766.7
N2O,1297.1411,5.507e-24,1,1749.9
N2O,1297.1415,1.272e-24,1,1761.7
N2O,1297.1435,1.593e-24,1,1757.5
N2O,1297.1452,2.099e-24,1,1754.1
N2O,1297.1464,3.035e-24,1,1751.6
N2O,1297.1469,1.386e-27,1,1278.6
N2O,1297.1473,5.507e-24,1,1749.9
N2O,1297.1510,3.486e-27,1,3475.0
N2O,1297.1650,1.425e-27,1,3021.1
N2O,1297.1720,4.057e-27,1,3898.1
N2O,1297.1742,2.500e-27,1,3014.9
N2O,1297.1759,4.060e-27,1,3898.0
N2O,1297.1779,2.819e-28,1,4478.6
H2O,1297.1811,7.394e-24,1,2358.3
H2O,1297.1837,2.218e-23,1,2358.3
N2O,1297.1879,2.391e-22,1,1173.2
N2O,1297.1958,3.201e-28,1,4082.6
N2O,1297.1958,3.201e-28,1,4082.6
N2O,1297.2218,2.240e-27,1,4046.5
N2O,1297.2229,2.779e-28,1,3319.6
N2O,1297.2304,5.319e-26,1,3456.4
H2O,1297.2410,8.806e-29,1,2771.7
H2O,1297.2439,3.983e-29,1,756.7
H2O,1297.2460,4.768e-25,1,3109.9
N2O,1297.2474,2.508e-27,1,3014.8
N2O,1297.2702,6.397e-21,1,606.4
N2O,1297.2781,5.648e-27,1,1223.6
N2O,1297.2835,2.482e-28,1,3193.9
N2O,1297.2878,6.397e-21,1,606.4
N2O,1297.2886,2.689e-28,1,4457.2
H2O,1297.2946,4.587e-28,1,4480.4
N2O,1297.3059,9.106e-26,1,3340.5
N2O,1297.3282,3.466e-28,1,3279.3
N2O,1297.3437,3.182e-27,1,2969.5
N2O,1297.3444,1.729e-27,1,2987.4
N2O,1297.3460,1.330e-24,1,2402.6
N2O,1297.3460,1.330e-24,1,2402.6
N2O,1297.3661,8.804e-25,1,2949.7
N2O,1297.3665,1.794e-28,1,4716.5
N2O,1297.3667,9.171e-26,1,3034.3
N2O,1297.3667,9.171e-26,1,3034.3
N2O,1297.3985,3.111e-28,1,4215.5
N2O,1297.4097,3.190e-27,1,2969.5
N2O,1297.4201,6.237e-27,1,3651.1
N2O,1297.4330,4.306e-28,1,3239.8
N2O,1297.4394,3.111e-28,1,4215.6
N2O,1297.4487,5.355e-27,1,3842.0
N2O,1297.4491,5.356e-27,1,3841.9
N2O,1297.4545,7.825e-28,1,2022.7
N2O,1297.4622,9.089e-26,1,3340.9
N2O,1297.4683,5.132e-22,1,1515.2
N2O,1297.4951,2.874e-28,1,3172.0
N2O,1297.4973,1.947e-26,1,3620.8
N2O,1297.5100,4.034e-27,1,2925.0
N2O,1297.5177,2.092e-27,1,2954.6
N2O,1297.5292,2.287e-25,1,2323.4
N2O,1297.5374,5.330e-28,1,3201.2
N2O,1297.5646,6.983e-28,1,2043.5
N2O,1297.5694,4.044e-27,1,2925.0
N2O,1297.5705,1.027e-23,1,1779.5
N2O,1297.5705,1.027e-23,1,1779.5
N2O,1297.5793,2.106e-24,1,2538.1
N2O,1297.6025,4.430e-27,1,3998.0
N2O,1297.6055,6.760e-26,1,2937.6
N2O,1297.6055,6.760e-26,1,2937.6
N2O,1297.6080,3.702e-26,1,2902.9
N2O,1297.6203,3.703e-26,1,2902.9
N2O,1297.6399,3.618e-28,1,4158.7
N2O,1297.6399,3.618e-28,1,4158.7
N2O,1297.6412,6.573e-28,1,3163.4
N2O,1297.6452,2.905e-28,1,4302.6
N2O,1297.6452,2.905e-28,1,4302.6
N2O,1297.6730,5.095e-27,1,2881.4
H2O,1297.6752,9.203e-29,1,610.3
N2O,1297.6852,2.521e-27,1,2922.6
H2O,1297.6905,8.930e-30,1,1255.2
N2O,1297.6980,1.358e-27,1,4358.0
N2O,1297.6987,3.319e-28,1,3150.9
H2O,1297.7169,1.347e-28,1,744.1
N2O,1297.7212,3.571e-23,1,1967.9
N2O,1297.7263,5.106e-27,1,2881.4
N2O,1297.7321,2.411e-28,1,4485.3
N2O,1297.7392,1.069e-25,1,3083.8
N2O,1297.7407,5.345e-27,1,3664.6
N2O,1297.7407,5.345e-27,1,3664.6
N2O,1297.7443,8.077e-28,1,3126.5
N2O,1297.7648,4.559e-28,1,4311.2
N2O,1297.7649,4.559e-28,1,4311.2
N2O,1297.7740,1.099e-28,1,2889.9
N2O,1297.7869,1.068e-25,1,3084.0
N2O,1297.7885,3.568e-23,1,1968.1
N2O,1297.7904,2.192e-28,1,4394.7
N2O,1297.7904,2.192e-28,1,4394.7
N2O,1297.8001,5.323e-27,1,3544.0
N2O,1297.8001,5.323e-27,1,3544.0
N2O,1297.8073,1.931e-26,1,3622.4
N2O,1297.8184,1.685e-28,1,4737.2
N2O,1297.8285,3.262e-28,1,4493.8
N2O,1297.8314,1.721e-19,1,100.6
N2O,1297.8327,6.412e-27,1,2838.6
H2O,1297.8331,5.098e-29,1,4966.6
N2O,1297.8436,1.388e-24,1,2498.2
N2O,1297.8437,1.388e-24,1,2498.2
N2O,1297.8444,1.053e-28,1,2399.1
N2O,1297.8468,3.027e-27,1,2891.5
N2O,1297.8468,9.888e-28,1,3090.3
N2O,1297.8594,4.341e-26,1,3502.0
N2O,1297.8602,3.468e-27,1,3487.1
N2O,1297.8604,3.468e-27,1,3487.1
N2O,1297.8805,6.424e-27,1,2838.5
N2O,1297.8850,3.605e-27,1,3928.0
N2O,1297.8897,3.608e-27,1,3927.9
N2O,1297.8943,3.825e-28,1,3130.7
N2O,1297.9021,1.944e-27,1,4080.5
N2O,1297.9171,2.027e-27,1,1292.0
H2O,1297.9203,6.803e-30,1,5119.4
H2O,1297.9326,2.267e-30,1,5119.4
N2O,1297.9327,3.601e-25,1,2336.2
N2O,1297.9327,3.601e-25,1,2336.2
